Name, Code, Region, Population
China,CHN,Asia,1386395000
India,IND,Asia,1339180127
United States,USA,North America,325719178
Indonesia,IDN,Asia,263991379
Brazil,BRA,South America,209288278 
Pakistan,PAK,Asia,197015955
Nigeria,NGA,Africa,190886311
Bangladesh,BGD,Asia,164669751 
Russian Federation,RUS,Europe,144495044
Mexico,MEX,North America,129163276
Japan,JPN,Asia,126785797
Ethiopia,ETH,Africa,104957438
Philippines,PHL,Asia,104918090
Egypt,EGY,Africa,97553151
Vietnam,VNM,Asia,95540800
Germany,DEU,Europe,82695000
Congo,COD,Africa,81339988
Iran,IRN,Asia,81162788

